"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"661","퓨처메인","퓨처메인 2022년 PM/PMO 공개 채용
기술기획사업기획상품기획서비스기획웹기획 외
","5 ~ 10년
학력무관","정규직
경기 수원시 영통구","입사지원
~ 04/08(금)
(12일 전 등록)"
"662","시큐에이블","보안솔루션 엔지니어 경력 채용(정규직)
기술지원보안컨설팅유지보수네트워크방화벽 외
","1 ~ 5년
대학(2,3년)↑","정규직
서울 금천구","입사지원
~ 04/21(목)
(12일 전 등록)"
"663","더블다운인터액티브
더블유게임즈그룹","[웹/게임서버 개발] [인프라개발] 경력 모집
데이터분석가데이터엔지니어백엔드/서버개발웹개발프론트엔드 외
","경력 1년↑
학력무관","정규직
서울 강남구","입사지원
채용시
(58일 전 등록)"
"664","라인웍스","취업축하금 50만원
백엔드 개발자
백엔드/서버개발웹개발SE(시스템엔지니어)빅데이터인프라 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
(254일 전 등록)"
"665","라인웍스","취업축하금 50만원
백엔드 엔지니어 산업기능요원 보충역 모집
백엔드/서버개발웹개발DBASE(시스템엔지니어)RDBMS 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(363일 전 등록)"
"666","라인웍스","취업축하금 50만원
Machine Learning Engineer 연구 인력 채용
데이터분석가딥러닝머신러닝블록체인빅데이터 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
(254일 전 등록)"
"667","라인웍스","취업축하금 50만원
데이터 엔지니어
웹개발DBASE(시스템엔지니어)데이터마이닝데이터시각화 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
(254일 전 등록)"
"668","엔도아이","ComputerVision AI Engineer / Junior Engineer
딥러닝머신러닝C++C언어Keras 외","경력무관
대학교(4년)↑","정규직
서울 서초구","입사지원
상시채용
(13일 전 등록)"
"669","텔릿 와이어리스 솔루션즈","무선통신모듈 SW Validation Engineer 경력
정보통신IoTC++C언어R","경력무관
대학교(4년)↑","정규직
서울 영등포구","입사지원
채용시
(13일 전 등록)"
"670","스타메드","의료기기 제조업 수시 채용
Python의료기기영업의료기기연구유지보수인프라 외
","경력무관
대학(2,3년)↑","정규직
경기 고양시 일산동구","입사지원
~ 04/14(목)
(19일 전 등록)"
"671","브랜드콘텐츠","IT팀 개발자 채용 경력무관 채용(정규직)
데이터엔지니어백엔드/서버개발앱개발웹개발유지보수 외
","경력무관
학력무관","정규직
서울 강남구","입사지원
~ 04/20(수)
(13일 전 등록)"
"672","더조은컴퓨터학원","2022년 상반기 빅데이터분석/머신러닝/딥러닝 강의 경력 채용
데이터분석가데이터엔지니어딥러닝머신러닝빅데이터 외","경력무관
대학(2,3년)↑","계약직
서울 구로구","입사지원
~ 05/20(금)
(13일 전 등록)"
"673","리치에일리언 주식회사","[리치에일리언] 게임 클라이언트 개발자 모집
게임개발데이터엔지니어앱개발Unity네트워크 외
","경력 3년↑
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
(41일 전 등록)"
"674","비욘드아이앤씨","취업축하금 50만원
주문 중개 백엔드(Java,Spring) 경력직 채용
백엔드/서버개발웹개발DBASE(시스템엔지니어)Java 외","5 ~ 20년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(180일 전 등록)"
"675","지이모션","[지이모션] 백엔드 엔지니어 채용
백엔드/서버개발프론트엔드유지보수솔루션정보통신 외
","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","채용 홈페이지
~ 04/07(목)
(26일 전 등록)"
"676","지이모션","풀스택 엔지니어 모집
백엔드/서버개발프론트엔드유지보수솔루션정보통신 외
","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","채용 홈페이지
~ 04/07(목)
(26일 전 등록)"
"677","마이스","[메가스터디교육 그룹] 마이스 - 백앤드 개발자 채용
데이터엔지니어백엔드/서버개발Node.jsReactRestAPI 외
","경력 3년↑
대학교(4년)↑","정규직
서울 서초구","입사지원
~ 04/20(수)
(13일 전 등록)"
"678","모니터랩","기술지원 엔지니어 (필드 엔지니어) 경력직 채용
기술지원네트워크트러블슈팅AWSAzure 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 구로구","입사지원
~ 04/20(수)
(13일 전 등록)"
"679","원프레딕트","취업축하금 50만원
IoT Senior Engineer(팀리드)
웹개발프론트엔드SE(시스템엔지니어)S/WApache 외","7 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(32일 전 등록)"
"680"," 원프레딕트","IoT Senior Engineer(팀리드)
IoT솔루션APIC++R","7 ~ 10년
학력무관","정규직
서울 강남구","입사지원
상시채용
(34일 전 등록)"
"681","텍스트리","[텍스트리] 현지화(로컬라이제이션) 엔지니어 모집
기술지원데이터엔지니어QA/테스터빅데이터솔루션 외
","경력무관
대학(2,3년)↑","정규직
서울 송파구","입사지원
채용시
(59일 전 등록)"
"682","윙크컴퍼니","취업축하금 50만원
모바일앱 개발자 채용(경력 3년이상)
앱개발웹개발프론트엔드SE(시스템엔지니어)클라우드 외","3 ~ 10년
학력무관","정규직
서울전체","홈페이지 지원
상시채용
(16일 전 등록)"
"683","와트","WATT에서 함께할 Robotics S/W Engineer를 찾습니다
머신러닝알고리즘임베디드자율주행S/W 외
","경력 2년↑
학력무관","정규직 · 계약직
서울 송파구","입사지원
~ 04/20(수)
(13일 전 등록)"
"684","와트","WATT에서 함께할 Senior Robotics S/W Engineer를 찾습니다
머신러닝알고리즘임베디드자율주행S/W 외
","경력 3년↑
학력무관","정규직 · 계약직
서울 송파구","입사지원
~ 04/20(수)
(13일 전 등록)"
"685","어니컴","[어니컴(주)] 서비스 검증(SQA) 담당자 모집
데이터엔지니어QA/테스터SQAAPIIoT 외","경력 3년↑
대학(2,3년)↑","정규직
서울 서초구","채용 홈페이지
~ 04/20(수)
(13일 전 등록)"
"686","에너닷
레즐러그룹","[에너닷] 웹/모바일 서비스 기획 (PO)
PO(프로덕트오너)기획사업개발스토리보드
","신입 · 경력
학력무관","정규직
서울 서초구","입사지원
~ 04/30(토)
(13일 전 등록)"
"687","브리치","[강소기업/내일채움공제] (주)브리치 서비스개발 및 기획부분
백엔드/서버개발프론트엔드딥러닝머신러닝HTML 외
","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
채용시
(13일 전 등록)"
"688","라티스글로벌커뮤니케이션스","[라티스글로벌] SC 사업부 현지화 엔지니어 모집
기술지원데이터엔지니어QA/테스터빅데이터솔루션 외
","경력무관
대학(2,3년)↑","정규직 · 계약직
서울 송파구","입사지원
~ 04/17(일)
(46일 전 등록)"
"689","슈나이더일렉트릭코리아","[프랑스계 전기회사/경력직] 프로젝트 엔지니어 모집
전기제어HMIPLC
","경력 7년↑
대학교(4년)↑","정규직
서울 강서구","입사지원
~ 04/20(수)
(13일 전 등록)"
"690","타임게이트","타임게이트 - 빅데이터 플랫폼 구축 / Splunk
보안컨설팅정보보안머신러닝빅데이터Python 외
","경력무관
대학교(4년)↑","정규직
서울 성동구","입사지원
~ 04/23(토)
(40일 전 등록)"
"691","스튜디오나우","퍼포먼스마케터 (신입/경력) 및 마케팅기획/AE(팀장급) 채용
마케팅기획마케팅전략광고마케팅시장조사광고기획 외
","경력무관
대학교(4년)↑","정규직 · 계약직
서울 강남구","입사지원
~ 04/19(화)
(44일 전 등록)"
"692","메가존클라우드
메가존그룹","[메가존클라우드] Sales & Marketing 채용
보안컨설팅정보보안IT컨설팅SE(시스템엔지니어)영상처리 외","경력무관
학력무관","정규직 · 인턴직
서울 강남구","입사지원
~ 06/30(목)
(278일 전 등록)"
"693","문엔지니어링","정보통신, 정보시스템, 엔지니어링분야, 해외사업, 인재모집
정보통신설계엔지니어전기제어감리원기술지원 외","신입 · 경력
대학(2,3년)↑","정규직
서울 구로구","입사지원
~ 04/20(수)
(13일 전 등록)"
"694","자이온아이티에스","취업축하금 50만원
시스템 엔지니어 경력자 모집 (5년 이상)
SE(시스템엔지니어)인프라DevOpsWindowsLinux 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(16일 전 등록)"
"695","유비케어","취업축하금 50만원
데이터 플랫폼 웹 풀스택 경력 개발자
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","5 ~ 10년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15(금)
(16일 전 등록)"
"696","커먼컴퓨터","취업축하금 50만원
소프트웨어 엔지니어 (전문연구요원-신규편입 및 전직)
백엔드/서버개발앱개발웹개발퍼블리셔프론트엔드 외","1 ~ 2년
석사↑","정규직
서울전체","입사지원
~ 06/30(목)
(17일 전 등록)"
"697","아이비베리","취업축하금 50만원
간편결제 중계 서버 및 웹앱 개발
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","홈페이지 지원
상시채용
(16일 전 등록)"
"698","유비케어","취업축하금 50만원
시스템(서버) 관리
백엔드/서버개발웹개발DBASE(시스템엔지니어)Windows 외","3 ~ 5년
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15(금)
(16일 전 등록)"
"699","유비케어","취업축하금 50만원
웹 풀스택 신입 개발자
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
~ 04/15(금)
(16일 전 등록)"
"700","메가존클라우드
메가존그룹","[메가존클라우드] Cloud Technical Support Engineer (AWS/Azure/GCP)
기술지원클라우드WindowsAWSAzure 외","경력무관
학력무관","정규직
서울 강남구","입사지원
~ 06/30(목)
(18일 전 등록)"
"701","배임수픽쳐스","IoT 임베디드 엔지니어 (엘리베이터 SW) / CTO & 각 영역별
임베디드IoTS/W프론트엔드네트워크 외","신입 · 경력
학력무관","정규직
서울 강남구
5,000만원","입사지원
채용시
(15일 전 등록)"
"702","비자림","신입 채용(인공지능 개발자)
데이터엔지니어백엔드/서버개발프론트엔드딥러닝머신러닝 외","신입
대학교(4년)↑","정규직
서울 강동구
2,900만원 이상 (면접 후 협의)","입사지원
~ 04/11(월)
(22일 전 등록)"
"703","주식회사 에이드파트너스","프롭테크 데이터 엔지니어(DE) 채용
데이터엔지니어DBA데이터마이닝빅데이터클라우드 외
","경력 2년↑
학력무관","정규직
서울 서초구","입사지원
~ 04/29(금)
(18일 전 등록)"
"704","푸드팡","취업축하금 50만원
[푸드팡] 물류트라이브 테크유닛 WMS/TMS팀 팀원
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(16일 전 등록)"
"705","푸드팡","취업축하금 50만원
[푸드팡] 물류트라이브 테크유닛 WMS/TMS팀 팀장
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(16일 전 등록)"
"706","맵시","[2022년 상반기] 해양 데이터 플랫폼 프론트엔드 개발자 모집
데이터엔지니어앱개발웹개발유지보수퍼블리셔 외
","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 관악구
270만원","입사지원
채용시
(18일 전 등록)"
"707","티빙
씨제이그룹","취업축하금 50만원
[티빙] 데이터 엔지니어(DW) 경력채용
웹개발SE(시스템엔지니어)데이터마이닝데이터시각화딥러닝 외","2 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(17일 전 등록)"
"708","메쉬코리아
메쉬코리아그룹","[메쉬코리아(부릉)] Senior Data Engineer 경력직 채용
빅데이터HadoopKafkaSparkR","5 ~ 15년
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
(18일 전 등록)"
"709","커먼컴퓨터","취업축하금 50만원
AI 소프트웨어 엔지니어 (전문연구요원)
데이터분석가웹개발프론트엔드SE(시스템엔지니어)딥러닝 외","1 ~ 2년
석사↑","정규직
서울전체","입사지원
~ 06/30(목)
(17일 전 등록)"
"710","플래티넘브릿지","취업축하금 50만원
백엔드 서버 개발자
백엔드/서버개발웹개발프론트엔드인프라AWS 외","1 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(17일 전 등록)"
"711","세나클소프트","[디지털헬스케어]개발 부문(백엔드서버&웹프론트엔드) 경력
웹개발프론트엔드C++C언어HTML 외
","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 04/16(토)
(47일 전 등록)"
"712","버즈니","취업축하금 50만원
[업계1위/초봉5천] 신사업 커머스 프론트엔드 엔지니어 (3년차 이상)
웹개발프론트엔드ECMAScriptJavascriptReact 외","3 ~ 11년
학력무관","정규직
서울전체","입사지원
상시채용
(96일 전 등록)"
"713","푸드팡","취업축하금 50만원
[푸드팡] 테크유닛 커머스개발팀 백엔드 개발자
백엔드/서버개발웹개발SE(시스템엔지니어)인프라AWS 외","2 ~ 7년
학력무관","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"714","세스코","㈜세스코 과학연구소 전자(펌웨어)개발 경력직 모집 (6년 이상)
임베디드펌웨어IoTMCU설계엔지니어 외
","6 ~ 12년
대학교(4년)↑","정규직
서울 강동구","채용 홈페이지
오늘마감
(16일 전 등록)"
"715","위메프","[위메프서비스] 네트워크 엔지니어
네트워크R네트워크엔지니어네트워크관리네트워크구축 외","경력 5년↑
학력무관","정규직
서울 강남구","홈페이지 지원
~ 04/19(화)
(16일 전 등록)"
"716","머지리티","취업축하금 50만원
[AI] Data Management 모집
웹개발프론트엔드SE(시스템엔지니어)데이터마이닝데이터시각화 외","3 ~ 5년
학력무관","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"717","딥핑소스","필드 엔지니어
사업개발사업제휴
","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(53일 전 등록)"
"718","허그맘허그인심리상담센터","2022년 상반기 퍼블리셔&백엔드&프론트엔드 외 경력직 채용
백엔드/서버개발앱개발웹개발퍼블리셔프론트엔드 외","경력무관
학력무관","정규직
서울 서초구","입사지원
~ 04/19(화)
(44일 전 등록)"
"719","딥핑소스","백엔드 엔지니어
S/W유지보수딥러닝머신러닝솔루션 외
","5 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(16일 전 등록)"
"720","딥핑소스","소프트웨어 엔지니어
S/W딥러닝머신러닝C++Linux 외
","5 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(16일 전 등록)"
"721","엔도아이","취업축하금 50만원
Data engineer (데이터 엔지니어/데이터 분석가)
웹개발SE(시스템엔지니어)데이터마이닝데이터시각화딥러닝 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"722","아이엠에이아이","취업축하금 50만원
Junior AI Engineer
데이터분석가딥러닝머신러닝블록체인빅데이터 외","2 ~ 5년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"723","엔도아이","취업축하금 50만원
Computer Vision AI Engineer
데이터분석가딥러닝머신러닝블록체인빅데이터 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"724","이지스엔터프라이즈
이지스엔터프라이즈그룹","취업축하금 50만원
웹 개발(신입) 백엔드 개발자
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"725","하이퍼커넥트","[하이퍼커넥트] Operation Specialist
서비스기획외주관리CX매니저기술상담통화품질분석 외
","1 ~ 8년
대학교(4년)↑","정규직
서울 강남구","홈페이지 지원
~ 04/17(일)
(16일 전 등록)"
"726","아이엠에이아이","Junior AI Engineer
딥러닝솔루션AI(인공지능)헬스케어AWS 외","1 ~ 10년
대학교(4년)↑","정규직
서울 서초구","입사지원
상시채용
(16일 전 등록)"
"727","엔유정보통신","부문별 사원 모집합니다 (클라우드,가상화 엔지니어/총무)
인프라클라우드VDIAWSIaaS 외
","경력 3년↑
대학(2,3년)↑","정규직 · 계약직
서울 영등포구","입사지원
~ 04/17(일)
(16일 전 등록)"
"728","스냅스","[스냅스] 여의도 본사 개발직군 채용
백엔드/서버개발앱개발웹개발딥러닝머신러닝 외","경력무관
학력무관","정규직
서울 영등포구","입사지원
~ 04/15(금)
(48일 전 등록)"
"729","루먼랩","[루먼랩] AI알고리즘 개발 엔지니어 신입/경력 채용 공고
딥러닝알고리즘AI(인공지능)모델링헬스케어 외
","신입 · 경력
석사↑","정규직
서울 송파구","입사지원
채용시
(16일 전 등록)"
"730","미디어엘
원익뉴그로쓰2018사모투자그룹","취업축하금 50만원
[Java] 모바일 서비스 백엔드 개발자 채용
백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","신입 · 경력
고졸↑","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"731","신한큐브온","백엔드 개발자(Back-end Engineer) 정규직 채용 (경력)
백엔드/서버개발인프라클라우드DBMSAWS 외","경력 4년↑
학력무관","정규직
서울 중구","입사지원
~ 04/17(일)
(16일 전 등록)"
"732","루먼랩","[루먼랩] 데브옵스 엔지니어 경력직 채용 공고
앱개발웹개발DevOps인프라클라우드 외
","3 ~ 15년
학력무관","정규직
서울 송파구","입사지원
채용시
(16일 전 등록)"
"733","더잭팟","[(주)더잭팟] iOS Developer 신입,경력 채용
SDKiOSRestAPISwift네트워크 외
","신입 · 경력
학력무관","정규직
서울 광진구","입사지원
상시채용
(16일 전 등록)"
"734","이씨에스텔레콤","각 부문 경력직 채용
백엔드/서버개발웹개발프론트엔드HTMLJava 외","신입 · 경력
대학(2,3년)↑","정규직
서울 서초구","홈페이지 지원
~ 04/15(금)
(48일 전 등록)"
"735","일하아이티","2022년 상반기 IT개발·데이터 경력 모집 공고
네트워크방화벽","5 ~ 15년
학력무관","정규직
서울 강서구","입사지원
~ 04/07(목)
(26일 전 등록)"
"736","콘센트릭스서비스코리아","[글로벌디지털마케팅] 데이터 분석(Data Analyst) 각 분야 채용
데이터분석가머신러닝빅데이터PythonR 외
","경력 1년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(24일 전 등록)"
"737","아이티엔리뉴","외 경력사원 채용합니다 - 정규직
JavaKafkaOSSDBA","5 ~ 8년
대학(2,3년)↑","정규직
서울 강서구","입사지원
~ 04/17(일)
(16일 전 등록)"
"738","한맥기술
한맥기술그룹","2022년 한맥가족 총괄기획실 인재 상시 채용
백엔드/서버개발웹개발프론트엔드JavaJSP 외","경력무관
학력무관","정규직 · 계약직
서울 송파구","입사지원
상시채용
(37일 전 등록)"
"739","여기어때컴퍼니","[여기어때] IT 전략기획자 채용 (경력)
웹디자인UI/UX디자인앱기획웹기획PM(프로젝트매니저) 외","1 ~ 10년
학력무관","정규직
서울 강남구","입사지원
~ 04/17(일)
(16일 전 등록)"
"740","씨제이이엔엠
씨제이그룹","CJ ENM 엔터테인먼트부문 광고 시스템 개발 경력 채용
데이터분석가데이터엔지니어앱개발웹개발SE(시스템엔지니어) 외","경력 3년↑
대학교(4년)↑","정규직
서울 중구","홈페이지 지원
~ 04/24(일)
(53일 전 등록)"
"741","씨제이이엔엠
씨제이그룹","CJ ENM 엔터테인먼트부문 데이터 사이언티스트 경력 채용
데이터분석가데이터엔지니어데이터라벨링데이터마이닝데이터시각화 외","경력
대학교(4년)↑","정규직
서울 중구","홈페이지 지원
~ 04/24(일)
(66일 전 등록)"
"742","씨제이이엔엠
씨제이그룹","CJ ENM 엔터테인먼트부문 AI/ML 및 데이터 엔지니어 경력 채용
데이터분석가데이터엔지니어앱개발웹개발데이터라벨링 외","경력
대학교(4년)↑","정규직
서울 중구","홈페이지 지원
~ 04/24(일)
(66일 전 등록)"
"743","씨제이이엔엠
씨제이그룹","CJ ENM 엔터테인먼트부문 AI 서비스 기획 경력 채용
데이터분석가데이터엔지니어앱개발웹개발웹마스터 외","경력
대학교(4년)↑","정규직
서울 중구","홈페이지 지원
~ 04/24(일)
(66일 전 등록)"
"744","이스턴네트웍스
이스턴네트웍스그룹","경력 데이터 관리자 채용
데이터분석가데이터마이닝빅데이터네트워크
","1 ~ 5년
대학(2,3년)↑","정규직
서울 강남구","채용 홈페이지
~ 04/08(금)
(26일 전 등록)"
"745","이스트몹","취업축하금 50만원
[라쿠텐] Android Engineer
앱개발웹개발프론트엔드AndroidJava 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(20일 전 등록)"
"746","코드와이즈","SOAR 엔지니어 채용 (파이썬)
데이터분석가보안컨설팅정보보안머신러닝모의해킹 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 마포구","입사지원
~ 05/15(일)
(18일 전 등록)"
"747","이지스엔터프라이즈
이지스엔터프라이즈그룹","취업축하금 50만원
웹 개발(신입) 프론트엔드 개발자
웹개발프론트엔드DBASE(시스템엔지니어)Ajax 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"748","엔도아이","취업축하금 50만원
Junior AI Engineer
데이터분석가딥러닝머신러닝블록체인빅데이터 외","2 ~ 5년
학력무관","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"749","엔도아이","취업축하금 50만원
Data Scientist (데이터 사이언티스트/딥러닝 엔지니어)
데이터분석가SE(시스템엔지니어)데이터마이닝데이터시각화딥러닝 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(18일 전 등록)"
"750","센서텍","센서 및 레이더 개발 경력직 모집
앱개발웹개발퍼블리셔프론트엔드DBA 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 강서구","입사지원
~ 04/30(토)
(17일 전 등록)"
"751","씨엔알리서치","[임상기업부설연구소] 채용
데이터분석가데이터엔지니어백엔드/서버개발프론트엔드딥러닝 외
","경력 5년↑
대학교(4년)↑","정규직
서울 노원구","입사지원
채용시
(17일 전 등록)"
"752","솔티드","iOS개발자 / 모바일QA 채용(경력)
앱개발C++C언어iOSObjective-C 외
","경력 2년↑
학력무관","정규직
서울 강남구","입사지원
~ 04/16(토)
(17일 전 등록)"
"753","뷰메진","[뷰메진] Backend Engineer 정규직 채용
S/WAI(인공지능)C++C언어Linux 외
","1 ~ 5년
대학교(4년)↑","정규직 · 계약직
서울 강남구","입사지원
상시채용
(17일 전 등록)"
"754","움트(UMT)","데이터베이스 설계 및 관리자 채용
데이터분석가데이터엔지니어크롤링클러스터링DB수집시스템설계
","신입 · 경력
대학교(4년)↑","정규직
서울 구로구","입사지원
~ 04/15(금)
(17일 전 등록)"
"755","일렉트로닉아츠코리아유한책임회사","취업축하금 50만원
[피파온라인4] Quality Designer (QA Engineer/게임QA)
QA/테스터GitC++R","5 ~ 7년
학력무관","정규직
서울전체","입사지원
상시채용
(248일 전 등록)"
"756","포인트모바일","(주)포인트모바일 기술지원팀 경력직 채용
기술지원데이터엔지니어유지보수IT컨설팅QA/테스터 외","경력 5년↑
대학교(4년)↑","정규직
서울 금천구","입사지원
~ 04/16(토)
(17일 전 등록)"
"757","인터파크
인터파크그룹","[인터파크] 시스템 운영 담당자
SE(시스템엔지니어)인프라트러블슈팅Windows.NET 외","5 ~ 15년
학력무관","정규직
서울 강남구","홈페이지 지원
상시채용
(17일 전 등록)"
"758","수학에심장을달다","[AI 수학 학습 프로그램] 파이썬 개발자 모집
데이터엔지니어웹개발데이터시각화GitMySQL 외
","2 ~ 10년
대학교(4년)↑","정규직
서울 양천구","입사지원
~ 04/15(금)
(48일 전 등록)"
"759","디에스앤텍","농협 상주 보안솔루션 유지보수 엔지니어
기술지원데이터엔지니어유지보수정보보안SE(시스템엔지니어) 외
","2 ~ 6년
학력무관","정규직 · 계약직
서울 강남구","입사지원
~ 04/16(토)
(17일 전 등록)"
"760","라포랩스","PB 브랜드 온라인 MD 채용
리테일MD브랜드MD온라인MD패션잡화SNS","경력 3년↑
학력무관","정규직
서울 강남구","홈페이지 지원
~ 04/10(일)
(18일 전 등록)"
"761","화이트큐브","취업축하금 50만원
[챌린저스 앱] 백엔드(서버) 개발자
백엔드/서버개발웹개발SE(시스템엔지니어)블록체인인프라 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(125일 전 등록)"
"762","부동산다이렉트
부동산다이렉트그룹","취업축하금 50만원
[알스퀘어] Software engineer (Web fullstack 서버 개발)
백엔드/서버개발웹개발퍼블리셔프론트엔드인프라 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(167일 전 등록)"
"763","콘텐츠웨이브
SK그룹","취업축하금 50만원
데이터베이스 관리자(DBA)
웹개발DBASE(시스템엔지니어)검색엔진DBMS 외","3 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(23일 전 등록)"
"764","맥클로린","취업축하금 50만원
Django Back-End, Full-Stack 개발자 구인 공고
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","1 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(20일 전 등록)"
"765","골라라","[골라라] 개발자 채용(프론트, 백엔드, 앱, 데이터, QA/QC, PO)
백엔드/서버개발앱개발웹개발프론트엔드QA/테스터 외
","경력 3년↑
학력무관","정규직
서울 중구","홈페이지 지원
상시채용
(38일 전 등록)"
"766","파고다아카데미
파고다아카데미그룹","취업축하금 50만원
어학원 시스템 Java 개발(5년 이상)
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","5 ~ 8년
학력무관","정규직
서울전체","입사지원
상시채용
(165일 전 등록)"
"767","쓰리아이","취업축하금 50만원
QA Engineer
QA/테스터","2 ~ 7년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(214일 전 등록)"
"768","메쉬코리아
메쉬코리아그룹","[메쉬코리아(부릉)] Data Engineer(전문연구요원 가능) 채용
데이터분석가빅데이터AWSHadoopJava 외","1 ~ 5년
학력무관","정규직 · 병역특례
서울 강남구","홈페이지 지원
~ 04/16(토)
(48일 전 등록)"
"769","에스엠스틸
SM그룹","SM스틸(주) 전산팀 경력직 채용 공고
데이터엔지니어웹개발웹마스터유지보수DBA 외
","경력 3년↑
대학교(4년)↑","정규직
경기 시흥시","입사지원
~ 05/05(목)
(17일 전 등록)"
"770","엑스소프트","IT개발·데이터 외 1개 부문 담당자 채용
기술지원웹개발솔루션JavaIT영업 외
","경력무관
학력무관","정규직
서울 금천구","입사지원
상시채용
(45일 전 등록)"
"771","굿모닝아이텍
굿모닝아이텍그룹","굿모닝아이텍(주) 가상화 (서버, 네트워크, 데스크탑) 엔지니어
백엔드/서버개발네트워크VDI기술지원유지보수 외","신입 · 경력
대학교(4년)↑","정규직
서울 마포구","입사지원
~ 04/15(금)
(48일 전 등록)"
"772","콘센트릭스서비스코리아","취업축하금 50만원
[글로벌디지털마케팅] 콘텐츠 모니터링 분석가
데이터분석가데이터엔지니어백엔드/서버개발웹개발퍼블리셔 외","8 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(19일 전 등록)"
"773","파인드커넥트","취업축하금 50만원
머신러닝 엔지니어
데이터분석가웹개발SE(시스템엔지니어)딥러닝머신러닝 외","3 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(19일 전 등록)"
"774","쿠팡
쿠팡그룹","[쿠팡플레이] Media Operations Engineer
영상처리엔터테인먼트영상자막영상제작영상편집 외","6 ~ 15년
대학(2,3년)↑","정규직
서울 송파구","입사지원
~ 04/16(토)
(18일 전 등록)"
"775","메디트","[MEDIT] Ai 엔지니어
딥러닝머신러닝빅데이터S/WAI(인공지능) 외
","경력무관
대학교(4년)↑","정규직
서울 영등포구","홈페이지 지원
~ 04/15(금)
(18일 전 등록)"
"776","퍼블리","취업축하금 50만원
소프트웨어 엔지니어 (프론트, 풀스택) - 경력 2년 이상
백엔드/서버개발앱개발웹개발퍼블리셔프론트엔드 외","2 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(117일 전 등록)"
